Bioactivity_ID,Activity_Value,BioAssay_AID,Substance_SID,Compound_CID,refsid,Gene_ID,PMID,Aid_Type,Last_Modified_Date,Has_Dose_Response_Curve,RNAi_BioAssay,Activity,Protein_Accession,Activity_Type,Activity_Qualifier,Bioassay_Data_Source,BioAssay_Name,Compound_Name,Target_Name,Target_Link,ECs,Representative_Protein_Accession,Taxonomy_ID,Cell_ID,Target_Taxonomy_ID,Anatomy_ID,Anatomy,dois,pmcids,pclids,citations
308752693,"",651718,17504222,3665766,"",281312,"",Screening,20121029,0,0,Active,AAI02981,"","",The Scripps Research Institute Molecular Screening Center,Absorbance-based biochemical primary high throughput screening assay to identify inhibitors of Methionine sulfoxide reductase A (MsrA),"2-(4-Aminophenyl)-1,3-benzothiazole-6-carboxylic acid",MSRA - methionine sulfoxide reductase A (domestic cattle),/gene/281312,"",P54149,9913,"","","","","","","",""
309466307,"",651724,17504222,3665766,"",5932,"",Screening,20121029,0,0,Inactive,AAC14371,"","",National Center for Advancing Translational Sciences (NCATS),qHTS Assay for Inhibitors of the CtBP/E1A Interaction,"2-(4-Aminophenyl)-1,3-benzothiazole-6-carboxylic acid","RBBP8 - RB binding protein 8, endonuclease (human)",/gene/5932,"",AAC14371,9606,"","","","","","","",""
309809695,"",651719,17504222,3665766,"",8484,"",Screening,20121029,0,0,Inactive,NP_003605,"","",The Scripps Research Institute Molecular Screening Center,Fluorescence-based cell-based primary high throughput screening assay to identify antagonists of the Galanin Receptor 3 (GalR3),"2-(4-Aminophenyl)-1,3-benzothiazole-6-carboxylic acid",GALR3 - galanin receptor 3 (human),/gene/8484,"",O60755,9606,"","","","","","","",""
310589955,"",651725,17504222,3665766,"",6495,"",Screening,20121029,0,0,Inactive,CAA62974,"","",National Center for Advancing Translational Sciences (NCATS),qHTS Assay for Inhibitors of the Six1/Eya2 Interaction,"2-(4-Aminophenyl)-1,3-benzothiazole-6-carboxylic acid",SIX1 - SIX homeobox 1 (human),/gene/6495,"",Q15475,9606,"","","","","","","",""
310617130,"",651768,17504222,3665766,"",7486,"",Confirmatory,20121116,1,0,Inactive,AAC63361,Potency,"",National Center for Advancing Translational Sciences (NCATS),qHTS for Inhibitors of WRN Helicase,"2-(4-Aminophenyl)-1,3-benzothiazole-6-carboxylic acid",WRN - WRN RecQ like helicase (human),/gene/7486,"",AAC63361,9606,"","","","","","","",""
310710573,"",651800,17504222,3665766,"",6955,"",Screening,20121119,0,0,Inactive,AAB69001,"","",The Scripps Research Institute Molecular Screening Center,Fluorescence-based biochemical primary high throughput assay to identify inhibitors of T-cell receptor (TCR)-CD3 interaction using a TAMRA-labeled TCR probe,"2-(4-Aminophenyl)-1,3-benzothiazole-6-carboxylic acid",TRA - T cell receptor alpha locus (human),/gene/6955,"",A0A0B4J268,9606,"","","","","","","",""
311720895,"",651819,17504222,3665766,"",153562,"",Screening,20121128,0,0,Inactive,BAE54513,"","",National Center for Advancing Translational Sciences (NCATS),High-Throughput Screening for Modulators of Cytosolic Chaperonin Activity,"2-(4-Aminophenyl)-1,3-benzothiazole-6-carboxylic acid",MARVELD2 - MARVEL domain containing 2 (human),/gene/153562,"",BAE54513,9606,"","","","","","","",""
311809438,"",651820,17504222,3665766,"","","",Confirmatory,20121128,1,0,Inactive,"",Potency,"",National Center for Advancing Translational Sciences (NCATS),qHTS Assay for Inhibitors of Hepatitis C Virus (HCV),"2-(4-Aminophenyl)-1,3-benzothiazole-6-carboxylic acid","","","","","","","","","","","","",""
312285166,"",651821,17504222,3665766,"","","",Screening,20130425,0,0,Inactive,"","","",The Scripps Research Institute Molecular Screening Center,Fluorescence-based biochemical primary high throughput screening assay to identify molecules that bind r(CAG) RNA repeats,"2-(4-Aminophenyl)-1,3-benzothiazole-6-carboxylic acid","","","","","","","","","","","","",""
312651083,"",651822,17504222,3665766,"",281312,"",Screening,20121129,0,0,Active,AAI02981,"","",The Scripps Research Institute Molecular Screening Center,Absorbance-based biochemical high throughput confirmation assay to identify inhibitors of Methionine sulfoxide reductase A (MsrA),"2-(4-Aminophenyl)-1,3-benzothiazole-6-carboxylic acid",MSRA - methionine sulfoxide reductase A (domestic cattle),/gene/281312,"",P54149,9913,"","","","","","","",""
312802548,"",651957,17504222,3665766,"",10499,"",Screening,20121226,0,0,Inactive,NP_006531,"","",The Scripps Research Institute Molecular Screening Center,Luminescence-based cell-based primary high throughput screening assay to identify inhibitors of the Steroid Receptor Coactivator 2 (SRC2; NCOA2),"2-(4-Aminophenyl)-1,3-benzothiazole-6-carboxylic acid",NCOA2 - nuclear receptor coactivator 2 (human),/gene/10499,"",Q15596,9606,"","","","","","","",""
313193963,"",651958,17504222,3665766,"",2943075,"",Screening,20121226,0,0,Inactive,YP_325663,"","",The Scripps Research Institute Molecular Screening Center,Fluorescence-based biochemical high throughput screening primary assay to identify inhibitors of Crimean-Congo Hemorrhagic Fever (CCHF) viral ovarian tumor domain protease (vOTU): Pep-AMC substrate,"2-(4-Aminophenyl)-1,3-benzothiazole-6-carboxylic acid",RdRp - putative polyprotein (Orthonairovirus haemorrhagiae),/gene/2943075,"",YP_325663,3052518,"","","","","","","",""
313548670,"",651965,17504222,3665766,"","","",Confirmatory,20130103,1,0,Inactive,AAC46381,Potency,"",National Center for Advancing Translational Sciences (NCATS),qHTS Assay for Activators of ClpP,"2-(4-Aminophenyl)-1,3-benzothiazole-6-carboxylic acid",ClpP (Bacillus subtilis),/protein/AAC46381,"",AAC46381,1423,"","","","","","","",""
313827953,"",652008,17504222,3665766,"",10499,"",Screening,20130201,0,0,Active,NP_006531,"","",The Scripps Research Institute Molecular Screening Center,Luminescence-based cell-based high throughput confirmation assay to identify inhibitors of the Steroid Receptor Coactivator 2 (SRC2; NCOA2),"2-(4-Aminophenyl)-1,3-benzothiazole-6-carboxylic acid",NCOA2 - nuclear receptor coactivator 2 (human),/gene/10499,"",Q15596,9606,"","","","","","","",""
313835154,"",652007,17504222,3665766,"","","",Screening,20130201,0,0,Active,NP_044650,"","",The Scripps Research Institute Molecular Screening Center,Counterscreen for inhibitors of the Steroid Receptor Coactivator 2 (SRC2; NCOA2): Luminescence-based cell-based high throughput assay to identify inhibitors of the Herpes Virus Virion Protein 16 (VP16),"2-(4-Aminophenyl)-1,3-benzothiazole-6-carboxylic acid",transactivating tegument protein VP16 [Human herpesvirus 1] (Herpes simplex virus type 1),/protein/NP_044650,"",NP_044650,10298,"","","","","","","",""
313974484,"",652010,17504222,3665766,"",190,"",Screening,20130201,0,0,Inactive,NP_000466,"","",The Scripps Research Institute Molecular Screening Center,"Luminescence-based cell-based primary high throughput screening assay for inhibitors of the orphan nuclear receptor subfamily 0, group B, member 1 (DAX1; NR0B1): repression of SF-1 (NR5A1) activated StAR promoter by full-length DAX-1","2-(4-Aminophenyl)-1,3-benzothiazole-6-carboxylic acid",NR0B1 - nuclear receptor subfamily 0 group B member 1 (human),/gene/190,"",P51843,9606,"","","","","","","",""
314244523,"",652017,17504222,3665766,"",6595,"",Screening,20130206,0,0,Inactive,EAW58811,"","",The Scripps Research Institute Molecular Screening Center,"Luminescence-based cell-based primary high throughput screening assay to identify activators of the function of SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 2 (SMARCA2, BRM)","2-(4-Aminophenyl)-1,3-benzothiazole-6-carboxylic acid",SMARCA2 - SWI/SNF related BAF chromatin remodeling complex subunit ATPase 2 (human),/gene/6595,"",P51531,9606,"","","","","","","",""
314675506,"",651999,17504222,3665766,"",10987,"",Screening,20130130,0,0,Inactive,NP_006828,"","",Burnham Center for Chemical Genomics,"uHTS identification of small molecule inhibitors of Csn-mediated Deneddylation of Cullin-Ring Ligases, vis a fluorescence polarization assay","2-(4-Aminophenyl)-1,3-benzothiazole-6-carboxylic acid",COPS5 - COP9 signalosome subunit 5 (human),/gene/10987,3.4.-.-,Q92905,9606,"","","","","","","",""
314948894,"",652042,17504222,3665766,"","","",Confirmatory,20130215,1,0,Inactive,"",AC50,"",Broad Institute,CEM21 Cytotoxicity Assay Measured in Cell-Based System Using Plate Reader - 7013-03_Inhibitor_Dose_CherryPick_Activity,"2-(4-Aminophenyl)-1,3-benzothiazole-6-carboxylic acid","","","","","","","","","","","","",""
